pin,r,g,b,total
0000,255,255,153,663
0001,255,227,0,482
0002,255,127,0,382
0003,255,103,0,358
0004,255,92,0,347
0005,255,91,0,346
0006,255,80,0,335
0007,255,255,28,538
0008,255,124,0,379
0009,255,166,0,421
0010,255,133,0,388
0011,255,178,0,433
0012,255,152,0,407
0013,255,147,0,402
0014,255,93,0,348
0015,255,81,0,336
0016,255,70,0,325
0017,255,82,0,337
0018,255,88,0,343
0019,255,65,0,320
0020,255,89,0,344
0021,255,104,0,359
0022,255,105,0,360
0023,255,110,0,365
0024,255,155,0,410
0025,255,90,0,345
0026,255,49,0,304
0027,255,86,0,341
0028,255,49,0,304
0029,255,48,0,303
0030,255,32,0,287
0031,255,58,0,313
0032,255,72,0,327
0033,255,88,0,343
0034,255,35,0,290
0035,255,50,0,305
0036,255,32,0,287
0037,255,10,0,265
0038,255,38,0,293
0039,255,11,0,266
0040,255,6,0,261
0041,255,63,0,318
0042,255,62,0,317
0043,255,7,0,262
0044,255,50,0,305
0045,255,69,0,324
0046,255,13,0,268
0047,255,19,0,274
0048,255,39,0,294
0049,255,70,0,325
0050,255,10,0,265
0051,243,0,0,243
0052,255,23,0,278
0053,255,21,0,276
0054,255,18,0,273
0055,255,53,0,308
0056,255,29,0,284
0057,255,19,0,274
0058,255,4,0,259
0059,255,9,0,264
0060,255,54,0,309
0061,255,22,0,277
0062,255,21,0,276
0063,255,47,0,302
0064,255,81,0,336
0065,255,19,0,274
0066,255,60,0,315
0067,255,18,0,273
0068,255,46,0,301
0069,255,147,0,402
0070,255,255,12,522
0071,255,128,0,383
0072,255,95,0,350
0073,255,52,0,307
0074,255,74,0,329
0075,255,70,0,325
0076,255,64,0,319
0077,255,196,0,451
0078,255,137,0,392
0079,255,129,0,384
0080,255,119,0,374
0081,255,36,0,291
0082,255,48,0,303
0083,255,162,0,417
0084,255,2,0,257
0085,255,24,0,279
0086,255,10,0,265
0087,255,45,0,300
0088,255,80,0,335
0089,255,63,0,318
0090,255,89,0,344
0091,255,28,0,283
0092,255,48,0,303
0093,255,31,0,286
0094,255,43,0,298
0095,221,0,0,221
0096,255,14,0,269
0097,255,26,0,281
0098,255,131,0,386
0099,255,147,0,402
0100,255,90,0,345
0101,255,226,0,481
0102,255,183,0,438
0103,255,146,0,401
0104,255,142,0,397
0105,255,134,0,389
0106,255,120,0,375
0107,255,130,0,385
0108,255,133,0,388
0109,255,128,0,383
0110,255,158,0,413
0111,255,154,0,409
0112,255,151,0,406
0113,255,133,0,388
0114,255,146,0,401
0115,255,129,0,384
0116,255,144,0,399
0117,255,138,0,393
0118,255,137,0,392
0119,255,140,0,395
0120,255,167,0,422
0121,255,181,0,436
0122,255,151,0,406
0123,255,255,4,514
0124,255,198,0,453
0125,255,178,0,433
0126,255,135,0,390
0127,255,140,0,395
0128,255,153,0,408
0129,255,142,0,397
0130,255,142,0,397
0131,255,135,0,390
0132,255,41,0,296
0133,255,32,0,287
0134,255,80,0,335
0135,255,34,0,289
0136,255,18,0,273
0137,255,59,0,314
0138,255,64,0,319
0139,243,0,0,243
0140,255,73,0,328
0141,255,35,0,290
0142,255,61,0,316
0143,255,108,0,363
0144,255,63,0,318
0145,255,77,0,332
0146,217,0,0,217
0147,255,181,0,436
0148,255,33,0,288
0149,255,22,0,277
0150,255,38,0,293
0151,255,7,0,262
0152,255,105,0,360
0153,255,63,0,318
0154,255,39,0,294
0155,255,23,0,278
0156,255,38,0,293
0157,255,63,0,318
0158,255,73,0,328
0159,255,90,0,345
0160,240,0,0,240
0161,255,10,0,265
0162,255,33,0,288
0163,255,9,0,264
0164,255,5,0,260
0165,255,32,0,287
0166,255,60,0,315
0167,255,24,0,279
0168,255,53,0,308
0169,255,31,0,286
0170,255,15,0,270
0171,255,20,0,275
0172,255,38,0,293
0173,253,0,0,253
0174,255,16,0,271
0175,255,41,0,296
0176,254,0,0,254
0177,255,38,0,293
0178,255,10,0,265
0179,255,51,0,306
0180,255,44,0,299
0181,253,0,0,253
0182,255,26,0,281
0183,232,0,0,232
0184,255,23,0,278
0185,245,0,0,245
0186,253,0,0,253
0187,255,114,0,369
0188,255,84,0,339
0189,255,80,0,335
0190,255,120,0,375
0191,255,52,0,307
0192,255,61,0,316
0193,255,2,0,257
0194,242,0,0,242
0195,230,0,0,230
0196,255,41,0,296
0197,234,0,0,234
0198,255,9,0,264
0199,255,44,0,299
0200,255,57,0,312
0201,255,128,0,383
0202,255,200,0,455
0203,255,171,0,426
0204,255,160,0,415
0205,255,143,0,398
0206,255,137,0,392
0207,255,121,0,376
0208,255,145,0,400
0209,255,147,0,402
0210,255,166,0,421
0211,255,138,0,393
0212,255,147,0,402
0213,255,163,0,418
0214,255,175,0,430
0215,255,137,0,392
0216,255,128,0,383
0217,255,143,0,398
0218,255,140,0,395
0219,255,141,0,396
0220,255,152,0,407
0221,255,141,0,396
0222,255,135,0,390
0223,255,139,0,394
0224,255,142,0,397
0225,255,153,0,408
0226,255,127,0,382
0227,255,131,0,386
0228,255,144,0,399
0229,255,66,0,321
0230,255,89,0,344
0231,255,42,0,297
0232,255,22,0,277
0233,255,39,0,294
0234,255,42,0,297
0235,255,56,0,311
0236,255,12,0,267
0237,234,0,0,234
0238,255,24,0,279
0239,255,15,0,270
0240,255,27,0,282
0241,255,30,0,285
0242,255,132,0,387
0243,255,70,0,325
0244,255,7,0,262
0245,255,34,0,289
0246,255,38,0,293
0247,255,25,0,280
0248,255,45,0,300
0249,255,36,0,291
0250,255,80,0,335
0251,255,22,0,277
0252,255,8,0,263
0253,234,0,0,234
0254,255,12,0,267
0255,255,26,0,281
0256,255,36,0,291
0257,255,35,0,290
0258,255,148,0,403
0259,226,0,0,226
0260,255,13,0,268
0261,215,0,0,215
0262,255,1,0,256
0263,254,0,0,254
0264,243,0,0,243
0265,243,0,0,243
0266,223,0,0,223
0267,255,14,0,269
0268,255,2,0,257
0269,255,32,0,287
0270,255,35,0,290
0271,255,17,0,272
0272,255,27,0,282
0273,248,0,0,248
0274,255,31,0,286
0275,255,9,0,264
0276,255,9,0,264
0277,253,0,0,253
0278,255,19,0,274
0279,255,26,0,281
0280,251,0,0,251
0281,255,14,0,269
0282,255,59,0,314
0283,228,0,0,228
0284,255,6,0,261
0285,255,5,0,260
0286,255,16,0,271
0287,255,40,0,295
0288,255,42,0,297
0289,255,5,0,260
0290,255,7,0,262
0291,255,2,0,257
0292,210,0,0,210
0293,226,0,0,226
0294,215,0,0,215
0295,252,0,0,252
0296,208,0,0,208
0297,255,12,0,267
0298,223,0,0,223
0299,224,0,0,224
0300,255,42,0,297
0301,255,146,0,401
0302,255,152,0,407
0303,255,198,0,453
0304,255,150,0,405
0305,255,151,0,406
0306,255,134,0,389
0307,255,135,0,390
0308,255,133,0,388
0309,255,127,0,382
0310,255,152,0,407
0311,255,168,0,423
0312,255,150,0,405
0313,255,158,0,413
0314,255,166,0,421
0315,255,153,0,408
0316,255,180,0,435
0317,255,145,0,400
0318,255,152,0,407
0319,255,147,0,402
0320,255,135,0,390
0321,255,187,0,442
0322,255,141,0,396
0323,255,152,0,407
0324,255,137,0,392
0325,255,149,0,404
0326,255,158,0,413
0327,255,149,0,404
0328,255,142,0,397
0329,255,126,0,381
0330,255,144,0,399
0331,255,146,0,401
0332,255,11,0,266
0333,255,89,0,344
0334,236,0,0,236
0335,255,4,0,259
0336,255,12,0,267
0337,255,47,0,302
0338,255,27,0,282
0339,255,9,0,264
0340,226,0,0,226
0341,255,25,0,280
0342,255,92,0,347
0343,255,52,0,307
0344,255,46,0,301
0345,255,62,0,317
0346,255,50,0,305
0347,255,34,0,289
0348,230,0,0,230
0349,255,32,0,287
0350,255,14,0,269
0351,255,98,0,353
0352,255,43,0,298
0353,238,0,0,238
0354,255,24,0,279
0355,255,18,0,273
0356,255,31,0,286
0357,255,92,0,347
0358,255,33,0,288
0359,249,0,0,249
0360,255,6,0,261
0361,255,22,0,277
0362,210,0,0,210
0363,242,0,0,242
0364,255,34,0,289
0365,255,16,0,271
0366,230,0,0,230
0367,255,4,0,259
0368,235,0,0,235
0369,255,101,0,356
0370,255,6,0,261
0371,255,22,0,277
0372,255,22,0,277
0373,237,0,0,237
0374,217,0,0,217
0375,255,8,0,263
0376,242,0,0,242
0377,227,0,0,227
0378,255,18,0,273
0379,237,0,0,237
0380,223,0,0,223
0381,215,0,0,215
0382,243,0,0,243
0383,255,3,0,258
0384,220,0,0,220
0385,255,52,0,307
0386,255,24,0,279
0387,255,41,0,296
0388,235,0,0,235
0389,212,0,0,212
0390,226,0,0,226
0391,255,9,0,264
0392,221,0,0,221
0393,212,0,0,212
0394,239,0,0,239
0395,239,0,0,239
0396,250,0,0,250
0397,247,0,0,247
0398,255,2,0,257
0399,247,0,0,247
0400,255,17,0,272
0401,255,126,0,381
0402,255,152,0,407
0403,255,125,0,380
0404,255,177,0,432
0405,255,147,0,402
0406,255,130,0,385
0407,255,138,0,393
0408,255,148,0,403
0409,255,121,0,376
0410,255,152,0,407
0411,255,189,0,444
0412,255,158,0,413
0413,255,153,0,408
0414,255,143,0,398
0415,255,144,0,399
0416,255,153,0,408
0417,255,144,0,399
0418,255,135,0,390
0419,255,147,0,402
0420,255,208,0,463
0421,255,129,0,384
0422,255,129,0,384
0423,255,153,0,408
0424,255,137,0,392
0425,255,141,0,396
0426,255,142,0,397
0427,255,135,0,390
0428,255,153,0,408
0429,255,136,0,391
0430,255,117,0,372
0431,255,63,0,318
0432,255,12,0,267
0433,246,0,0,246
0434,247,0,0,247
0435,250,0,0,250
0436,210,0,0,210
0437,245,0,0,245
0438,218,0,0,218
0439,162,0,0,162
0440,255,12,0,267
0441,255,30,0,285
0442,255,60,0,315
0443,213,0,0,213
0444,255,18,0,273
0445,255,21,0,276
0446,228,0,0,228
0447,195,0,0,195
0448,253,0,0,253
0449,230,0,0,230
0450,255,26,0,281
0451,255,18,0,273
0452,249,0,0,249
0453,255,26,0,281
0454,255,18,0,273
0455,255,37,0,292
0456,255,84,0,339
0457,255,9,0,264
0458,255,4,0,259
0459,255,9,0,264
0460,226,0,0,226
0461,240,0,0,240
0462,255,8,0,263
0463,248,0,0,248
0464,245,0,0,245
0465,230,0,0,230
0466,246,0,0,246
0467,250,0,0,250
0468,248,0,0,248
0469,255,3,0,258
0470,255,1,0,256
0471,242,0,0,242
0472,243,0,0,243
0473,230,0,0,230
0474,255,9,0,264
0475,255,0,0,255
0476,255,15,0,270
0477,255,30,0,285
0478,255,14,0,269
0479,255,79,0,334
0480,220,0,0,220
0481,238,0,0,238
0482,255,33,0,288
0483,255,0,0,255
0484,255,39,0,294
0485,255,46,0,301
0486,255,145,0,400
0487,255,15,0,270
0488,255,14,0,269
0489,255,9,0,264
0490,239,0,0,239
0491,255,1,0,256
0492,212,0,0,212
0493,255,25,0,280
0494,243,0,0,243
0495,255,15,0,270
0496,215,0,0,215
0497,237,0,0,237
0498,224,0,0,224
0499,217,0,0,217
0500,255,41,0,296
0501,255,148,0,403
0502,255,154,0,409
0503,255,121,0,376
0504,255,137,0,392
0505,255,199,0,454
0506,255,137,0,392
0507,255,145,0,400
0508,255,119,0,374
0509,255,146,0,401
0510,255,162,0,417
0511,255,136,0,391
0512,255,155,0,410
0513,255,146,0,401
0514,255,131,0,386
0515,255,156,0,411
0516,255,138,0,393
0517,255,148,0,403
0518,255,131,0,386
0519,255,128,0,383
0520,255,132,0,387
0521,255,147,0,402
0522,255,137,0,392
0523,255,146,0,401
0524,255,143,0,398
0525,255,153,0,408
0526,255,141,0,396
0527,255,134,0,389
0528,255,127,0,382
0529,255,122,0,377
0530,255,126,0,381
0531,255,125,0,380
0532,255,47,0,302
0533,255,9,0,264
0534,255,26,0,281
0535,255,50,0,305
0536,245,0,0,245
0537,208,0,0,208
0538,223,0,0,223
0539,255,13,0,268
0540,255,1,0,256
0541,237,0,0,237
0542,255,15,0,270
0543,230,0,0,230
0544,200,0,0,200
0545,239,0,0,239
0546,255,16,0,271
0547,253,0,0,253
0548,221,0,0,221
0549,247,0,0,247
0550,255,68,0,323
0551,255,19,0,274
0552,255,5,0,260
0553,237,0,0,237
0554,255,6,0,261
0555,255,77,0,332
0556,248,0,0,248
0557,228,0,0,228
0558,245,0,0,245
0559,227,0,0,227
0560,255,22,0,277
0561,255,10,0,265
0562,255,10,0,265
0563,255,9,0,264
0564,255,19,0,274
0565,228,0,0,228
0566,255,6,0,261
0567,255,32,0,287
0568,244,0,0,244
0569,255,15,0,270
0570,255,8,0,263
0571,255,50,0,305
0572,251,0,0,251
